Original;Traduzida
The third party documentation is wrong;A documentação de terceiros está errada
You must be missing some of the dependencies;Você deve estar perdendo algumas dependências. Será que alguém mexeu no Gemfile? 🤔
The existing design makes it difficult to do the right thing;O design atual torna difícil fazer a coisa certa. Peço desculpas pela confusão que isso pode ter causado.
I forgot to commit the code that fixes that;Eu esqueci de fazer o commit do código que corrige aquele bug.
There was too little data to bother with the extra functionality at the time;Havia poucos dados para se dar ao trabalho de implementar a funcionalidade extra naquela época.
"That's interesting, how did you manage to make it do that?";"Isso é interessante, como você conseguiu fazer isso funcionar desse jeito?"
I can't make that a priority right now;Não consigo priorizar isso no momento
That's the fault of the graphic designer;Essa é culpa do designer gráfico.
I told you yesterday it would be done by the end of today;Eu te disse ontem que seria concluído até o final do dia hoje
You're doing it wrong;Você está fazendo isso errado. Desculpe!
It's not a code problem - our users need more training;Não é um problema de código - nossos usuários precisam de mais treinamento.
I was told to stop working on that when something important came up;Fui mandado parar de trabalhar nisso quando algo importante surgiu. Peço desculpas pela interrupção!
"It works, but it's not been tested";"Funciona, mas não foi testado. Desculpe, sou do tipo ""live on the edge""."
It's a known bug with the programming language;É um bug conhecido da linguagem de programação. É como se ela tivesse vontade própria!
I couldn't find any library that can even do that;Eu não consegui encontrar nenhuma biblioteca que consiga fazer isso. Desculpe-me por não conseguir entregar como prometido. Vou continuar procurando por soluções alternativas!
It's a browser compatibility issue;"É um problema de compatibilidade com o navegador. Na verdade, o código ficou tão confuso que até o próprio navegador não sabe o que fazer com ele. Desculpe pela bagunça!"
"It can't be broken, it passes all unit tests";"Não pode estar quebrado, ele passa em todos os testes unitários."
It's a remote vendor issue;É um problema de fornecedor remoto. Parece que o fornecedor decidiu se aventurar em lugares desconhecidos e deixou tudo de cabeça para baixo.
It would take too long to rewrite the code from scratch;Seria muito demorado reescrever o código do zero
"Oh, you said you DIDN'T want that to happen?";"Ah, você disse que NÃO queria que isso acontecesse? Desculpe, parece que interpretei ao contrário. Meu erro!"
It's always been like that;Sempre foi assim.
"Oh, that was just a temporary fix";"Ah, aquilo foi apenas uma solução provisória."
"Well, that's a first";"Bom, isso é novidade. Será que isso quebrei tudo de novo?"
It's never shown unexpected behaviour like this before;Nunca tinha exibido um comportamento inesperado assim antes.
That code was written by the last guy;Esse código foi escrito pelo último cara.
This is a previously known bug you told me not to work on yet;Essa é uma falha previamente conhecida na qual você me disse para não mexer ainda.
I didn't create that part of the program;Eu não criei aquela parte do programa. A culpa não é minha!
I didn't receive a ticket for it;Eu não recebi um ticket para isso.
It would have taken twice as long to build it properly;Levaria o dobro do tempo para construir corretamente.
"Even though it doesn't work, how does it feel?";"Mesmo que não funcione, como que isso faz você se sentir?"
I have too many other high priority things to do right now;Estou com várias outras tarefas super importantes para fazer no momento.
It must be because of a leap year;Deve ser por causa de um ano bissexto.
That's already fixed it just hasn't taken effect yet;"Isso já foi corrigido, só ainda não surtiu efeito."
No one told me so I was forced to assume which way to do that;"Ninguém me disse, então fui obrigado a assumir qual era o caminho certo para fazer isso."
"Oh, that was only supposed to be a placeholder";"Ah, aquilo era só para ser um espaço reservado. Desculpa a confusão!"
I thought you signed off on that?;Pensei que você tinha aprovado aquilo?
There's currently a problem with our hosting company;Houve um probleminha momentâneo com a nossa empresa de hospedagem. Nosso site decidiu tirar umas mini férias sem aviso prévio. Pedimos desculpas pelo inconveniente e estamos trabalhando para resolver isso o mais rápido possível. Obrigado pela paciência!
In the interest of efficiency I only check my email for that on a Friday;"No interesse da eficiência, só verifico meu e-mail para isso em uma sexta-feira."
The third party API is not responding;A API de terceiros não está respondendo. Peço desculpas pela inconveniência. Parece que ela decidiu tirar um dia de folga sem aviso prévio. Vamos ver se conseguimos convencê-la a voltar ao trabalho o mais rápido possível!
The person responsible doesn't work here anymore;"A pessoa responsável não trabalha mais aqui. Mas a culpa é dela, não minha!"
The marketing department made us put that there;O departamento de marketing fez a gente colocar isso aí
It works for me;Funciona na minha máquina
Everything looks fine my end;Tudo parece bem do meu lado
There were too many developers working on that same thing;Havia simplesmente muitos desenvolvedores trabalhando na mesma coisa. A concorrência estava acirrada!
It was working in my head;Estava funcionando na minha cabeça.
I haven't had the chance to run that code yet;Eu não tive a oportunidade de rodar esse código ainda
Your browser must be caching the old content;Seu navegador deve estar guardando em cache o conteúdo antigo
The download must have been corrupted;O download deve ter sido corrompido.
I'm surprised that was working at all;Estou surpreso que isso estava funcionando de alguma forma
You must have done something wrong;Você deve ter feito algo errado.
How is that possible?;"Como isso foi possível? Ah, bem... Deixe-me tentar explicar de uma forma não técnica: Foi como tentar equilibrar um cachorro em cima de um gato enquanto o gato tenta trapacear no jogo da velha. Você entendeu, né? Desculpe pela confusão!"
The client must have been hacked;O cliente deve ter sido hackeado
What did I tell you about using parts of the system you don't understand?;"O que eu te disse sobre mexer em partes do sistema que você não entende? Será que foi algo do tipo ""melhor você rezar para que tudo dê certo"" ou ""prepare-se para o caos""?"
I couldn't find any examples of how that can be done anywhere else in the project;Eu não consegui encontrar nenhum exemplo de como fazer isso em qualquer outro lugar do projeto. Será que podemos tentar de outra forma?
That important email must have been marked as spam;Aquele e-mail importante deve ter sido marcado como spam.
"Well, at least it displays a very pretty error";"Bem, pelo menos exibe um erro bastante bonito."
I must have been stress testing our production server;Devo ter feito um teste de estresse no nosso servidor de produção
The project manager said no one would want that feature;"O gerente de projeto disse que ninguém ia querer aquela funcionalidade.

Ah, os famosos ""gargalos criativos"" da liderança! Mas não se preocupe, vamos encontrar uma maneira de contornar essa opinião duvidosa."
It's a character encoding issue;É um problema de codificação de caracteres
You can't use that version on your system;Você não pode usar aquela versão no seu sistema. Oops!
Our code quality is no worse than anyone else in the industry;Nossa qualidade de código não é pior do que a de ninguém nesta indústria
I can't test everything;Não consigo testar tudo
That feature would be outside of the scope;"Essa funcionalidade está fora do escopo. Ou seja, não vai rolar mesmo, desculpa!"
That feature was slated for phase two;Aquela funcionalidade estava marcada para a fase dois.
I couldn't find any examples of how that can be done anywhere online;Eu não consegui encontrar nenhum exemplo de como isso pode ser feito em nenhum lugar online
There must be something strange in your data;Deve ter alguma coisa estranha nos seus dados
That wasn't in the original specification;Isso não estava na especificação original. Desculpe!
I'm not familiar with it so I didn't fix it in case I made it worse;"Não estou familiarizado com isso, então não consertei com medo de piorar ainda mais."
You must have the wrong version;Você deve estar usando a versão errada. Será que a versão mais recente está em outra pasta? Deixe-me verificar...
I'm still working on that as we speak;Estou trabalhando nisso neste exato momento.
I haven't had any experience with that before;"Eu nunca tive experiência com isso antes. Desculpe, estou aprendendo ainda!"
I must not have understood what you were asking for;Eu devo ter entendido errado o que você estava pedindo.
Nobody asked me how long it would actually take;Ninguém me perguntou quanto tempo realmente levaria
I thought I finished that;Eu pensei que tinha terminado aquilo.
I'll have to fix that at a later date;Vou ter que corrigir isso em uma data posterior
I usually get a notification when that happens;Normalmente recebo uma notificação quando isso acontece
The client wanted it changed at the last minute;O cliente quis mudar de última hora
I didn't anticipate that I would make any errors;Eu não estava esperando cometer nenhum erro.
I broke that deliberately to do some testing;Eu quebrei de propósito para fazer alguns testes.
I did a quick fix last time but it broke when we rebooted;"Da última vez eu fiz um remendo rápido, mas quebrou quando reiniciamos. Desculpe a bagunça!"
The WYSIWYG must have produced an invalid output;"O ""O que você vê é o que você tem"" deve ter gerado uma saída inválida."
I thought I fixed that;Pensei que tinha consertado isso.
I'm not sure as I've never had a look at how that works before;"Não tenho certeza, pois nunca dei uma olhada em como isso funciona antes."
We spent three months debugging it because we only had one month to build it;Passamos três meses debugando isso porque tínhamos apenas um mês para construir.
That was literally a one in a million error;Isso foi literalmente um erro de um em um milhão.
The specifications were ambiguous;"As especificações estavam ambíguas. Peço desculpas pelo transtorno, não foi minha intenção causar confusão. Prometo esclarecer todos os detalhes antes da próxima vez!"
That wouldn't be economically feasible;Isso não seria economicamente viável.
The unit test doesn't cover that eventuality;O teste unitário não cobre essa eventualidade. Peço desculpas por essa falha inesperada!
We outsourced that months ago;Nós terceirizamos isso meses atrás.
This code was not supposed to go in to production yet;Esse código não deveria ter ido para produção ainda
I heard there was a solar flare today;"Oi, eu ouvi dizer que houve uma erupção solar hoje. Aparentemente, meu código decidiu ficar um pouco mais quente também. Peço desculpas pelos bugs inesperados que surgiram de repente. Vou corrigi-los rapidinho!"
What did you type in wrong to get it to crash?;No que você digitou errado para fazer o programa travar?
I haven't been able to reproduce that;Eu não consegui reproduzir isso.
THIS can't be the source of THAT;Isso não pode ser a origem daquilo.
Nobody has ever complained about it;Ninguém nunca reclamou sobre isso
Our internet connection must not be working;Nossa conexão com a internet deve estar com algum problema
It's a known bug with the server software;"É um bug conhecido no software do servidor. Aquele que a gente finge que vai arrumar, mas está lá há tanto tempo que já faz parte da família, sabe?"
Management insisted we wouldn't need to waste our time writing unit tests;A gerência insistiu que não precisaríamos perder tempo escrevendo testes unitários.
That code seemed so simple I didn't think it needed testing;"Aquele código parecia tão simples que eu não achei que precisasse de testes. Dá próxima vez vou lembrar de testar até o ""Hello World""!"
That behaviour is in the original specification;Esse comportamento está na especificação original.
Did you check for a virus on your system?;"Você verificou se tem algum vírus em seu sistema?

Ops, acho que eu quebrei seu sistema, desculpa!"
Why do you want to do it that way?;"Por que você quer fazer dessa maneira?

Desculpa, mas seria muito mais divertido (e eficiente) se a gente fizesse de outro jeito! 😉"
It's just some unlucky coincidence;Foi só uma infeliz coincidência.
I was just fixing that;Eu só estava arrumando isso
Our redundant systems must have failed as well;"Nossos sistemas redundantes devem ter falhado também. A culpa é sempre dos sistemas, nunca dos programadores, não é mesmo?"
"Actually, that's a feature";"Na verdade, isso é uma funcionalidade"
It must be a hardware problem;Deve ser um problema de hardware
The project manager told me to do it that way;O gerente do projeto me mandou fazer desse jeito
I thought he knew the context of what I was talking about;Pensei que ele entendia o contexto do que eu estava falando. Peço desculpas por qualquer confusão causada pela falta de clareza da minha comunicação. Prometo ser mais explícito da próxima vez.
I haven't touched that code in weeks;Não mexo nesse código há semanas.
I have never seen that before in my life;Eu nunca vi isso antes na minha vida.
I'm not getting any error codes;Eu não estou recebendo nenhum código de erro
We should have updated our software years ago;Devíamos ter atualizado nosso software anos atrás. Pelo menos agora já sabemos que era urgente!
Somebody must have changed my code;Alguém deve ter mexido no meu código
The original specification contained conflicting requirements;A especificação original continha requisitos conflitantes.
That's not a bug it's a configuration issue;"Isso não é um bug, é uma questão de configuração."
"Well done, you found my easter egg!";"Parabéns, você encontrou meu easter egg!"
That error means it was successful;Essa mensagem de erro significa que foi um grande sucesso!
It's an unexpected emergent behaviour of several last minute abstractions;É um comportamento emergente inesperado de diversas abstrações de última hora.
The accounting department must have cancelled that subscription;O departamento de contabilidade deve ter cancelado aquela assinatura.
It worked yesterday;Funcionava ontem
